sample_id,experiment_id,flowrate,T_set,TOP_fraction,oleylamine_fraction,ODE_extra_fraction,r0_sphere,sigma_sphere,I0_sphere,I0_fraction_sphere,disordered_flag,crystalline_flag,dilute_sphere_flag
R0_201811_1541444388,R0_201811,80.0,290.0,0.0,0.1,0.0,18.89624406895297,0.24032789090890333,107.29609792583089,0.9982795752869539,False,False,True
R0_201811_1541447662,R0_201811,40.0,290.0,0.0,0.1,0.0,27.02573159213334,0.19418108596565528,142.23683548702343,0.9978467664058047,False,False,True
R0_201811_1541451179,R0_201811,40.0,290.0,0.0,0.0,0.1,16.996243561416335,0.42961519861255704,179.5093354136184,1.0,False,False,True
RxnE_201902_1549763321,RxnE_201902,90.23428904678177,264.26536855162567,0.038624568069115565,0.013791908676261004,0.2169687877734452,24.463018329358494,0.1167999100993754,22.553482619135167,0.9789091866456211,False,False,True
RxnE_201902_1549765194,RxnE_201902,66.03004956040519,300.0755448615573,0.136044488430345,0.015069259845296612,0.2948324329065977,,,,,False,False,False
RxnE_201902_1549768788,RxnE_201902,69.46753746776452,300.14508363728095,0.005031683155766384,0.26025344298840014,0.29814432486718223,27.483869894991066,0.13216979555344577,26.14996145725934,0.9882140528594465,False,False,True
RxnE_201902_1549770506,RxnE_201902,98.04960973698687,308.70251154866355,0.010602554704065662,0.07519523598746132,0.03968785834089703,23.308451440917153,0.08299525656696294,8.150817152311541,0.9592587281056042,False,False,True
RxnE_201902_1549780388,RxnE_201902,69.01350758729043,264.41464908162806,0.001704496914038612,0.2678487578806417,0.131719080896255,27.75680676858695,0.0875148473189965,23.19014859896328,1.0,False,False,True
RxnE_201902_1549785719,RxnE_201902,82.15977599142437,250.13065076158165,0.0018645596031056297,0.01185243254062153,0.24208920287413585,17.127993222064752,0.11845801015460744,75.87254121254213,0.9980968203901185,False,False,True
RxnE_201902_1549787700,RxnE_201902,79.2603970476902,223.50616931414734,0.0017400410387937047,0.16675862206471512,0.14581625867771306,24.978496498322343,0.1260472252192466,109.54989731351907,0.9986348395057192,False,False,True
RxnE_201902_1549795188,RxnE_201902,97.81671189639209,223.64746197769892,0.04120250795124299,0.29051144325372197,0.01808046859503611,,,,,False,False,False
RxnE_201902_1549802310,RxnE_201902,20.310651692242683,232.33223810664262,0.019136408060632576,0.015831862729056803,0.1291760504188141,27.43622192325812,0.08492453438069736,81.13688356581056,0.6609462347163334,True,False,True
RxnE_201902_1549807638,RxnE_201902,27.618878155644033,305.15056694928074,0.2391966824554683,0.28319940657787834,0.017304257054201175,,,,,False,False,False
RxnE_201902_1549814628,RxnE_201902,52.397294139381074,294.71745017232473,0.008052133313793683,0.007204379165733764,0.17610517287570393,24.348717397422323,0.20543796541067172,97.20730123790449,0.9964942239550112,False,False,True
