,experiment_id,sample_id,system_class,system_class_xval,diffuse_binary,disordered_binary,crystalline_binary,diffuse_binary_xval,diffuse_binary_pr,disordered_binary_xval,disordered_binary_pr,crystalline_binary_xval,crystalline_binary_pr
79,RxnB_201902,RxnB_201902_1549510854,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
81,RxnB_201902,RxnB_201902_1549542392,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
82,RxnB_201902,RxnB_201902_1549543553,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
87,RxnB_201902,RxnB_201902_1549550118,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
88,RxnB_201902,RxnB_201902_1549522353,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
89,RxnB_201902,RxnB_201902_1549547681,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
95,RxnB_201902,RxnB_201902_1549558912,diffuse__diffuse,diffuse,True,False,False,True,True,False,False,False,False
94,RxnB_201902,RxnB_201902_1549533717,diffuse__diffuse__disordered,diffuse__diffuse__disordered,True,True,False,True,True,False,True,False,False
96,RxnB_201902,RxnB_201902_1549563823,diffuse__diffuse__disordered,diffuse__diffuse__disordered,True,True,False,True,True,False,True,False,False
90,RxnB_201902,RxnB_201902_1549546027,diffuse__disordered,diffuse__disordered,True,True,False,True,True,False,True,False,False
80,RxnB_201902,RxnB_201902_1549556123,unidentified,unidentified,False,False,False,False,False,False,False,False,False
85,RxnB_201902,RxnB_201902_1549512034,unidentified,unidentified,False,False,False,False,False,False,False,False,False
91,RxnB_201902,RxnB_201902_1549527270,unidentified,unidentified,False,False,False,False,False,False,False,False,False
92,RxnB_201902,RxnB_201902_1549552495,unidentified,unidentified,False,False,False,False,False,False,False,False,False
97,RxnB_201902,RxnB_201902_1549538559,unidentified,unidentified,False,False,False,False,False,False,False,False,False
